channel,total,a_13_17,a_18_24,a_25_34,a_35_44,a_45_54,a_55_64,a_65_,group
신의 한수,1310000,0.033,0.148,0.201,0.234,0.191,0.134,0.059,1
진성호 방송,1100000,0.034,0.151,0.204,0.246,0.196,0.118,0.05,1
펜앤드마이크TV,645000,0.033,0.144,0.202,0.236,0.197,0.13,0.056,1
신인균의 국방TV,786000,0.027,0.161,0.204,0.239,0.19,0.129,0.051,1
가로세로 연구소,620000,0.034,0.171,0.244,0.215,0.171,0.116,0.049,1
고성국tv,540000,0.03,0.133,0.191,0.246,0.195,0.146,0.06,1
황장수의 뉴스브리핑o,492000,0.03,0.138,0.197,0.245,0.211,0.13,0.049,1
이봉규TV,616000,0.03,0.14,0.206,0.241,0.201,0.127,0.056,1
뉴스타운TV,492000,0.032,0.142,0.214,0.248,0.198,0.11,0.057,1
배승희 변호사,684000,0.032,0.147,0.219,0.241,0.192,0.117,0.053,1
사람사는세상노무현재단,1170000,0.043,0.195,0.235,0.222,0.184,0.084,0.036,2
TBS 시민의방송,950000,0.036,0.155,0.225,0.229,0.215,0.102,0.038,2
딴지방송국,802000,0.037,0.171,0.246,0.206,0.186,0.109,0.044,2
newstapa,602000,0.041,0.171,0.227,0.219,0.213,0.09,0.039,2
서울의 소리 The Voice of Seoul,505000,0.038,0.154,0.206,0.231,0.202,0.121,0.048,2
오마이스쿨,445000,0.042,0.197,0.246,0.14,0.207,0.081,0.033,2
MediaVOP,471000,0.045,0.191,0.251,0.21,0.191,0.083,0.03,2
김용민TV,459000,0.036,0.159,0.235,0.23,0.203,0.1,0.037,2
시사타파TV,436000,0.039,0.158,0.212,0.234,0.201,0.111,0.045,2
언론 알아야 바꾼다,394000,0.037,0.165,0.211,0.243,0.209,0.098,0.038,2
